,index_content,word,nature,content_type,index_word
2176,157,事情,n,pos,8
2180,158,张薇,nr,pos,1
2183,158,校长,n,pos,2
2186,158,腿,n,pos,3
2190,158,力保,nz,pos,4
2191,158,张薇,nr,pos,5
2196,159,同伙,n,pos,1
2202,163,四川,ns,pos,1
2203,163,女子,n,pos,2
2204,163,大学,n,pos,3
2206,163,男生,n,pos,4
2214,164,热度,n,pos,2
2215,164,恶心,n,pos,3
2216,164,公司,n,pos,4
2219,164,学生,n,pos,5
2222,164,罪过,n,pos,6
2228,164,小丑,nr,pos,8
2229,164,发文,n,pos,9
2233,165,血霉,n,pos,2
2236,166,毕业生,n,pos,1
2239,166,川带,n,pos,2
2242,166,清华北大,nt,pos,3
2245,167,张薇,nr,pos,3
2249,168,热度,n,pos,3
2251,168,公司,n,pos,4
2254,168,热度,n,pos,6
2258,168,舆论压力,n,pos,8
2260,168,学生,n,pos,9
2262,168,网暴,n,pos,10
2264,168,情绪,n,pos,11
2269,168,网友,n,pos,13
2271,168,乐子,n,pos,14
2285,169,热度,n,pos,6
2287,169,女尊,n,pos,7
2288,169,男卑,n,pos,8
2289,169,思想,n,pos,9
2292,169,企业,n,pos,10
2297,169,仙女,n,pos,13
2302,169,自卑,n,pos,15
2305,169,发展,vn,pos,17
2307,169,影响,vn,pos,19
2311,170,毛钱,n,pos,2
2312,170,关系,n,pos,3
2314,170,网友,n,pos,4
2317,170,前途,n,pos,7
2318,171,哈人,nrt,pos,1
2322,172,企业,n,pos,2
2326,172,学生,n,pos,3
2327,172,实力,n,pos,4
2331,172,学生,n,pos,6
2332,172,大学,n,pos,7
2333,172,热门,n,pos,8
2334,172,事件,n,pos,9
2340,173,公司,n,pos,2
2360,174,制裁,n,pos,1
2362,174,企业,n,pos,2
2371,175,人才,n,pos,1
2372,175,无辜,n,pos,2
2380,175,成,n,pos,6
2384,176,下校,n,pos,2
2385,176,招,n,pos,3
2389,176,企业,n,pos,4
2399,177,学生,n,pos,3
2402,177,领导,n,pos,4
2405,177,学生,n,pos,5
2407,177,领导,n,pos,6
2425,178,事,n,pos,2
2427,178,小事,n,pos,3
2429,178,校风,n,pos,4
2436,179,燎原,n,pos,2
2439,180,同学,n,pos,1
2441,181,四川,ns,pos,1
2442,181,女校,n,pos,2
2447,183,冰山,ns,pos,2
2449,183,水面,n,pos,4
2455,184,屁用,n,pos,2
2461,184,公检法,n,pos,5
2464,184,声明,n,pos,7
2470,185,张薇,nr,pos,1
2471,185,大美女,n,pos,2
2474,185,大门,n,pos,3
2487,185,视频,n,pos,9
2497,186,党籍,n,pos,1
2504,186,学校,n,pos,4
2506,186,处,n,pos,6
2512,186,对立面,n,pos,8
2519,187,学生,n,pos,3
2520,187,风骨,n,pos,4
2522,187,心气,n,pos,5
2534,188,流量,n,pos,2
2540,188,辣鸡,n,pos,4
2543,188,性别,n,pos,6
2550,189,厕所,n,pos,2
2551,189,大战,nz,pos,3
2562,190,公司,n,pos,1
2570,190,公司,n,pos,3
2574,190,河南人,n,pos,5
2586,191,屁股,n,pos,5
2598,193,脚,n,pos,3
2602,194,研究生,n,pos,4
2606,194,时间,n,pos,6
2611,194,屁事,n,pos,9
2614,194,黑,n,pos,11
2616,195,公司,n,pos,1
2619,195,热度,n,pos,3
2622,195,公司,n,pos,4
2645,199,热度,n,pos,2
2646,199,公司,n,pos,3
2649,199,职工,n,pos,5
2656,199,女校,n,pos,6
2658,200,校领导,n,pos,1
2666,200,贪腐,n,pos,4
2669,200,教育局,n,pos,5
2671,200,彻查,vn,pos,6
2673,201,双,n,pos,1
