,index_content,word,nature,content_type,index_word
1955,134,当地人,n,pos,8
1956,134,观念,n,pos,9
1957,135,好似,v,pos,1
1958,136,大厂,n,pos,1
1961,137,年,m,pos,1
1962,137,央视,j,pos,2
1963,137,点评,v,pos,3
1966,138,垃圾,n,pos,1
1968,139,留,v,pos,1
1969,139,大学,n,pos,2
1971,140,入职,v,pos,1
1972,140,做,v,pos,2
1975,140,师,ng,pos,3
1976,140,捏,v,pos,4
1977,141,公开,ad,pos,1
1981,141,蹭,v,pos,2
1982,141,热度,n,pos,3
1987,141,公司,n,pos,4
1989,141,内部,f,pos,5
1990,141,声明,n,pos,6
1994,141,发出,v,pos,7
2001,142,学校,n,pos,1
2004,142,面向,n,pos,2
2005,142,正义,n,pos,3
2009,142,耻辱,n,pos,4
2011,143,先,d,pos,1
2013,143,公司,n,pos,2
2014,143,里,f,pos,3
2017,143,开除,v,pos,4
2019,143,再发,d,pos,5
2021,143,招,v,pos,6
2025,143,可信,v,pos,7
2026,144,工农,n,pos,1
2027,144,兄弟,n,pos,2
2029,144,辱,ng,pos,3
2031,144,国法,n,pos,4
2032,144,党纪,n,pos,5
2034,144,轻,a,pos,6
2037,144,重罚,vn,pos,7
2038,144,无以,c,pos,8
2039,144,抚慰,v,pos,9
2040,144,良善,a,pos,10
2043,144,重罚,vn,pos,11
2044,144,无以,c,pos,12
2045,144,威严,a,pos,13
2046,144,法纪,n,pos,14
2049,144,重罚,vn,pos,15
2050,144,无以,c,pos,16
2051,144,警示,v,pos,17
